ID,Name,Subject,Marks
S001,Vvvvv Ayyyyy,Science,5
S002,Wwwww Bzzzzz,English,10
S003,Xxxxx Caaaaa,Computer,15
S004,Yyyyy Dbbbbb,Physics,20
S005,Zzzzz Eccccc,Chemistry,25
S006,Aaaaa Fddddd,Maths,30
S007,Bbbbb Geeeee,Science,35
S008,Ccccc Hfffff,English,40
S009,Ddddd Iggggg,Computer,45
S010,Eeeee Jhhhhh,Physics,50
S011,Fffff Kiiiii,Chemistry,55
S012,Ggggg Ljjjjj,Maths,60
S013,Hhhhh Mkkkkk,Science,65
S014,Iiiii Nlllll,English,70
S015,Jjjjj Ommmmm,Computer,75
S016,Kkkkk Pnnnnn,Physics,80
S017,Lllll Qooooo,Chemistry,85
S018,Mmmmm Rppppp,Maths,90
S019,Nnnnn Sqqqqq,Science,95
S020,Ooooo Trrrrr,English,100
S021,Ppppp Usssss,Computer,4
S022,Qqqqq Vttttt,Physics,9
S023,Rrrrr Wuuuuu,Chemistry,14
S024,Sssss Xvvvvv,Maths,19
S025,Ttttt Ywwwww,Science,24
S026,Uuuuu Zxxxxx,English,29
S027,Vvvvv Ayyyyy,Computer,34
S028,Wwwww Bzzzzz,Physics,39
S029,Xxxxx Caaaaa,Chemistry,44
S030,Yyyyy Dbbbbb,Maths,49
S031,Zzzzz Eccccc,Science,54
S032,Aaaaa Fddddd,English,59
S033,Bbbbb Geeeee,Computer,64
S034,Ccccc Hfffff,Physics,69
S035,Ddddd Iggggg,Chemistry,74
S036,Eeeee Jhhhhh,Maths,79
S037,Fffff Kiiiii,Science,84
S038,Ggggg Ljjjjj,English,89
S039,Hhhhh Mkkkkk,Computer,94
S040,Iiiii Nlllll,Physics,99
S041,Jjjjj Ommmmm,Chemistry,3
S042,Kkkkk Pnnnnn,Maths,8
S043,Lllll Qooooo,Science,13
S044,Mmmmm Rppppp,English,18
S045,Nnnnn Sqqqqq,Computer,23
S046,Ooooo Trrrrr,Physics,28
S047,Ppppp Usssss,Chemistry,33
S048,Qqqqq Vttttt,Maths,38
S049,Rrrrr Wuuuuu,Science,43
S050,Sssss Xvvvvv,English,48
S051,Ttttt Ywwwww,Computer,53
S052,Uuuuu Zxxxxx,Physics,58
